PDBchain1,PDBchain2,TM1,TM2,RMSD,ID1,ID2,IDali,L1,L2,Lali
AAQ67004.1-86.04,AFI86262.1-89.96,0.2983,0.2662,5.46,0.038,0.031,0.063,132,159,79
AAQ67004.1-86.04,AFJ08142.1-92.10,0.8239,0.7099,1.44,0.318,0.271,0.353,132,155,119
AAQ67004.1-86.04,AIJ34845.1-89.63,0.9835,0.8728,0.62,0.992,0.879,0.992,132,149,132
AAQ67004.1-86.04,AKV63926.1-81.23,0.2842,0.2418,5.37,0.015,0.012,0.027,132,171,75
AAQ67004.1-86.04,ALF16987.1-86.89,0.3283,0.2822,5.23,0.045,0.036,0.07,132,169,86
AAQ67004.1-86.04,ALF17355.1-77.91,0.3493,0.2578,4.64,0.03,0.02,0.051,132,202,78
AAQ67004.1-86.04,ALF17404.1-88.92,0.3505,0.3017,5.06,0.053,0.042,0.081,132,166,86
AAQ67004.1-86.04,ALF22009.1-89.36,0.3514,0.3686,4.83,0.045,0.049,0.071,132,122,85
AAQ67004.1-86.04,ALF24715.1-87.05,0.3265,0.2806,5.31,0.053,0.041,0.081,132,169,86
AAQ67004.1-86.04,ALF24927.1-77.15,0.3576,0.2653,3.95,0.053,0.036,0.099,132,194,71
AAQ67004.1-86.04,ALJ24580.1-80.05,0.2853,0.2427,5.3,0.03,0.023,0.053,132,171,75
AAQ67004.1-86.04,AMQ94623.1-88.71,0.32,0.2492,5.35,0.03,0.021,0.049,132,193,82
AAQ67004.1-86.04,APW33183.1-79.76,0.2922,0.2509,5.28,0.03,0.024,0.052,132,169,77
AAQ67004.1-86.04,APW33876.1-91.96,0.8212,0.7122,1.47,0.318,0.273,0.353,132,154,119
AAQ67004.1-86.04,ATR92881.1-83.63,0.2863,0.2447,4.95,0.015,0.012,0.028,132,169,71
AAQ67004.1-86.04,ATR95460.1-82.20,0.283,0.2418,5.27,0.03,0.024,0.056,132,169,72
AAQ67004.1-86.04,ATR98718.1-81.52,0.3142,0.2643,5.04,0.03,0.023,0.053,132,171,75
AAQ67004.1-86.04,ATV05999.1-89.20,0.3502,0.2995,4.92,0.076,0.06,0.119,132,167,84
AAQ67004.1-86.04,ATV25391.1-82.06,0.2858,0.2438,5.36,0.03,0.024,0.055,132,169,73
AAQ67004.1-86.04,ATV27155.1-80.02,0.2914,0.2509,5.2,0.023,0.018,0.04,132,168,75
AAQ67004.1-86.04,ATV27245.1-80.03,0.2878,0.248,5.26,0.03,0.024,0.053,132,168,75
AAQ67004.1-86.04,ATV29060.1-79.07,0.2866,0.2469,5.3,0.03,0.024,0.053,132,168,75
AAQ67004.1-86.04,ATV29297.1-92.32,0.8258,0.7113,1.43,0.318,0.271,0.353,132,155,119
AAQ67004.1-86.04,ATV31678.1-80.13,0.2835,0.2436,5.26,0.045,0.036,0.082,132,168,73
AAQ67004.1-86.04,ATV32174.1-80.12,0.2871,0.2466,5.43,0.03,0.024,0.053,132,169,76
